id,Team_or_Opponent,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA_Expected,A_minus_xAG_Expected,KP,Final_Third,PPA,CrsPA,PrgP,team_id,season_id
10,team,9690,14126,68.6,189556,83925,4104,5044,81.4,3760,4936,76.2,1502,3175,47.3,21,22.5,24.0,-1.5,248,844,214,94,1003,34.0,3
11,team,15146,18604,81.4,264810,95707,7006,7806,89.8,6295,7222,87.2,1449,2560,56.6,41,37.5,35.4,3.5,366,1086,265,91,1378,35.0,3
12,team,10451,14261,73.3,199896,84037,4575,5313,86.1,4184,5157,81.1,1424,2932,48.6,27,26.5,23.1,0.5,252,815,182,69,948,54.0,3
13,team,12725,16835,75.6,242236,95597,5565,6377,87.3,5130,6255,82.0,1759,3323,52.9,30,28.4,31.7,1.6,322,1140,271,114,1356,67.0,3
14,team,13497,17666,76.4,251321,91899,5811,6629,87.7,5654,6716,84.2,1717,3329,51.6,29,30.0,29.7,-1.0,386,1247,269,102,1390,70.0,3
15,team,22082,25012,88.3,357586,113878,11462,12245,93.6,8069,8810,91.6,1812,2595,69.8,56,56.8,56.6,-0.8,522,1880,384,50,2017,71.0,3
16,team,15324,19134,80.1,269422,96159,6955,7910,87.9,6451,7502,86.0,1505,2659,56.6,36,39.7,36.4,-3.7,346,1145,290,65,1483,72.0,3
17,team,15379,19193,80.1,273953,95369,7106,7918,89.7,6324,7354,86.0,1599,2958,54.1,31,32.0,34.0,-1.0,341,1230,302,95,1513,80.0,3
18,team,13592,17492,77.7,240816,86465,6320,7184,88.0,5505,6588,83.6,1420,2753,51.6,23,32.5,35.8,-9.5,355,1155,302,111,1472,91.0,3
19,team,12627,16425,76.9,238766,87767,5273,6049,87.2,5251,6199,84.7,1734,3141,55.2,24,28.4,24.4,-4.4,324,969,223,92,1244,92.0,3
20,team,16634,19862,83.7,295552,101196,7381,8147,90.6,7101,7924,89.6,1743,2737,63.7,33,43.2,38.3,-10.2,374,1304,349,52,1622,93.0,3
21,opponent,15420,19392,79.5,271389,96958,7336,8173,89.8,6009,7055,85.2,1644,2972,55.3,49,49.5,49.2,-0.5,423,1406,370,91,1706,1.0,3
22,opponent,13537,17573,77.0,245545,92725,6176,7079,87.2,5335,6384,83.6,1644,3105,52.9,28,26.9,27.7,1.1,286,913,253,70,1212,6.0,3
23,opponent,16384,20021,81.8,301152,100162,6990,7841,89.1,7186,8112,88.6,1852,3099,59.8,22,31.3,31.5,-9.3,331,1304,267,93,1634,7.0,3
24,opponent,10316,13758,75.0,190049,78390,4734,5458,86.7,3903,4724,82.6,1358,2606,52.1,10,23.0,21.6,-13.0,244,747,198,61,955,10.0,3
25,opponent,14220,17964,79.2,252008,95359,6584,7458,88.3,5828,6839,85.2,1478,2672,55.3,28,37.0,35.7,-9.0,326,1182,302,86,1571,12.0,3
26,opponent,14618,18416,79.4,264587,95274,6485,7336,88.4,6036,7073,85.3,1704,2985,57.1,35,30.5,29.2,4.5,279,1132,218,89,1297,19.0,3
27,opponent,15630,19569,79.9,277547,103054,7208,8097,89.0,6172,7272,84.9,1772,3099,57.2,32,38.4,40.0,-6.4,393,1364,339,96,1739,24.0,3
28,opponent,15598,19238,81.1,278092,100384,7007,7840,89.4,6508,7501,86.8,1682,2859,58.8,44,48.7,43.7,-4.7,416,1340,325,92,1615,27.0,3
29,opponent,15807,19603,80.6,278055,101521,7448,8318,89.5,6120,7171,85.3,1742,3004,58.0,47,44.6,40.9,2.4,426,1297,324,92,1634,29.0,3
30,opponent,17070,21494,79.4,307288,104475,7505,8488,88.4,7300,8503,85.9,1833,3374,54.3,29,31.0,32.4,-2.0,360,1296,254,86,1519,34.0,3
31,opponent,14391,17921,80.3,258164,90467,6386,7118,89.7,6021,6982,86.2,1573,2822,55.7,39,38.6,38.5,0.4,377,1220,296,95,1439,35.0,3
32,opponent,16934,20763,81.6,294260,97924,7875,8733,90.2,7059,8172,86.4,1588,2872,55.3,31,31.8,35.9,-0.8,378,1539,332,115,1706,54.0,3
33,opponent,14139,18199,77.7,256353,94725,6318,7230,87.4,5956,7018,84.9,1573,2988,52.6,29,34.8,34.3,-5.8,326,1049,277,77,1371,67.0,3
34,opponent,12926,17027,75.9,231723,93838,6099,6948,87.8,4988,6083,82.0,1497,2986,50.1,34,36.8,30.9,-2.8,330,963,252,70,1231,70.0,3
35,opponent,13004,15986,81.3,225607,85520,6326,6960,90.9,4976,5716,87.1,1292,2373,54.4,21,27.8,26.3,-6.8,317,1013,248,63,1189,71.0,3
36,opponent,12130,16093,75.4,216970,81534,5571,6377,87.4,4694,5669,82.8,1456,3002,48.5,26,24.8,26.4,1.2,300,873,222,78,1025,72.0,3
37,opponent,13660,17319,78.9,246669,89019,6107,6903,88.5,5592,6545,85.4,1572,2903,54.2,40,42.0,34.1,-2.0,397,1136,274,101,1275,80.0,3
38,opponent,12580,16357,76.9,229406,88530,5588,6399,87.3,5099,6072,84.0,1540,2918,52.8,34,32.3,32.3,1.7,289,986,232,51,1225,91.0,3
39,opponent,13635,17448,78.1,239805,96442,6612,7546,87.6,5113,6088,84.0,1511,2794,54.1,46,46.7,43.0,-0.7,455,1184,346,94,1486,92.0,3
40,opponent,12047,15331,78.6,217557,84062,5567,6240,89.2,4683,5572,84.0,1447,2598,55.7,29,35.7,30.5,-6.7,343,969,278,84,1242,93.0,3
